item,model,language,variant,metric,value,n,source_path
D4,polyguard,th,code-switching,flip_rate,0.0333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,polyguard,th,spacing,flip_rate,0.6,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,polyguard,th,translationese,flip_rate,0.0667,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,polyguard,th,obfuscated,flip_rate,0.6,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,polyguard,vi,code-switching,flip_rate,0.1333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,polyguard,vi,spacing,flip_rate,0.7,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,polyguard,vi,translationese,flip_rate,0.2333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,polyguard,vi,obfuscated,flip_rate,0.4,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,ar,code-switching,flip_rate,0.1,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,ar,spacing,flip_rate,0.4333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,ar,translationese,flip_rate,0.0667,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,ar,obfuscated,flip_rate,0.3667,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,es,code-switching,flip_rate,0.1667,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,es,spacing,flip_rate,0.5333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,es,translationese,flip_rate,0.1,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,es,obfuscated,flip_rate,0.6,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,hi,code-switching,flip_rate,0.3,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,hi,spacing,flip_rate,0.6,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,hi,translationese,flip_rate,0.0667,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,hi,obfuscated,flip_rate,0.3333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,id,code-switching,flip_rate,0.1667,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,id,spacing,flip_rate,0.4,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,id,translationese,flip_rate,0.0667,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,id,obfuscated,flip_rate,0.4667,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,ru,code-switching,flip_rate,0.3,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,ru,spacing,flip_rate,0.4667,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,ru,translationese,flip_rate,0.1333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,ru,obfuscated,flip_rate,0.4,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,th,code-switching,flip_rate,0.0333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,th,spacing,flip_rate,0.4,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,th,translationese,flip_rate,0.1333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,th,obfuscated,flip_rate,0.4,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,vi,code-switching,flip_rate,0.2333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,vi,spacing,flip_rate,0.3333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,vi,translationese,flip_rate,0.2,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,sguard,vi,obfuscated,flip_rate,0.2333,30,results/final/flip_rate_multilingual.csv (commit 2a9af2d)
D4,llamaguard,en,code-switching,flip_rate,0.1154,26,results/final/flip_rate_en_vs_ko.csv
D4,llamaguard,en,spacing,flip_rate,0.0385,26,results/final/flip_rate_en_vs_ko.csv
D4,llamaguard,en,translationese,flip_rate,0.0385,26,results/final/flip_rate_en_vs_ko.csv
D4,llamaguard,en,obfuscated,flip_rate,0.1154,26,results/final/flip_rate_en_vs_ko.csv
D4,polyguard,en,code-switching,flip_rate,0.1538,26,results/final/flip_rate_en_vs_ko.csv
D4,polyguard,en,spacing,flip_rate,0.0769,26,results/final/flip_rate_en_vs_ko.csv
D4,polyguard,en,translationese,flip_rate,0.1154,26,results/final/flip_rate_en_vs_ko.csv
D4,polyguard,en,obfuscated,flip_rate,0.1923,26,results/final/flip_rate_en_vs_ko.csv
D4,sguard,en,code-switching,flip_rate,0.2692,26,results/final/flip_rate_en_vs_ko.csv
D4,sguard,en,spacing,flip_rate,0.1538,26,results/final/flip_rate_en_vs_ko.csv
D4,sguard,en,translationese,flip_rate,0.0385,26,results/final/flip_rate_en_vs_ko.csv
D4,sguard,en,obfuscated,flip_rate,0.0769,26,results/final/flip_rate_en_vs_ko.csv
