model,dataset,threshold,coverage,n,precision,recall,f1
polyguard,multilingual_hi,0.9,0.5,30,0.8667,0.65,0.7429
polyguard,multilingual_hi,0.95,0.4167,25,1.0,0.6667,0.8
polyguard,multilingual_id,0.5,1.0,30,0.7143,0.5,0.5882
polyguard,multilingual_id,0.6,0.9333,28,0.6667,0.4444,0.5333
polyguard,multilingual_id,0.7,0.8333,25,0.7273,0.5,0.5926
polyguard,multilingual_id,0.8,0.5333,16,0.8571,0.5455,0.6667
polyguard,multilingual_id,0.9,0.4,12,1.0,0.5,0.6667
polyguard,multilingual_id,0.95,0.3333,10,1.0,0.5556,0.7143
polyguard,multilingual_ru,0.5,1.0,60,0.9062,0.725,0.8056
polyguard,multilingual_ru,0.6,1.0,60,0.9062,0.725,0.8056
polyguard,multilingual_ru,0.7,0.9833,59,0.9032,0.7179,0.8
polyguard,multilingual_ru,0.8,0.9,54,0.931,0.7297,0.8182
polyguard,multilingual_ru,0.9,0.8167,49,0.9259,0.7812,0.8475
polyguard,multilingual_ru,0.95,0.7333,44,0.9231,0.8276,0.8727
polyguard,multilingual_th,0.5,1.0,60,0.9667,0.725,0.8286
polyguard,multilingual_th,0.6,0.95,57,1.0,0.7105,0.8308
polyguard,multilingual_th,0.7,0.9167,55,1.0,0.7297,0.8438
polyguard,multilingual_th,0.8,0.8,48,1.0,0.7419,0.8519
polyguard,multilingual_th,0.9,0.7,42,1.0,0.7586,0.8627
polyguard,multilingual_th,0.95,0.5667,34,1.0,0.7917,0.8837
polyguard,multilingual_vi,0.5,1.0,30,0.8571,0.9,0.878
polyguard,multilingual_vi,0.6,0.8667,26,0.8947,0.9444,0.9189
polyguard,multilingual_vi,0.7,0.8,24,0.8824,0.9375,0.9091
polyguard,multilingual_vi,0.8,0.6333,19,0.9231,0.9231,0.9231
polyguard,multilingual_vi,0.9,0.5333,16,1.0,0.9231,0.96
polyguard,multilingual_vi,0.95,0.4667,14,1.0,0.9167,0.9565
sguard,pgprompts_en,0.5,1.0,1699,0.9241,0.8554,0.8884
sguard,pgprompts_en,0.6,0.9888,1680,0.929,0.8627,0.8946
sguard,pgprompts_en,0.7,0.9723,1652,0.9353,0.8724,0.9028
sguard,pgprompts_en,0.8,0.9535,1620,0.9335,0.8778,0.9048
sguard,pgprompts_en,0.9,0.9194,1562,0.946,0.8856,0.9148
sguard,pgprompts_en,0.95,0.8852,1504,0.9535,0.8941,0.9228
sguard,pgprompts_ko,0.5,1.0,1699,0.8633,0.6618,0.7492
sguard,pgprompts_ko,0.6,0.9582,1628,0.8798,0.6765,0.7648
sguard,pgprompts_ko,0.7,0.9082,1543,0.8971,0.6916,0.7811
sguard,pgprompts_ko,0.8,0.844,1434,0.9142,0.7053,0.7963
sguard,pgprompts_ko,0.9,0.7616,1294,0.9221,0.7331,0.8168
sguard,pgprompts_ko,0.95,0.6857,1165,0.9536,0.741,0.834
sguard,multilingual_ar,0.5,1.0,60,1.0,0.7,0.8235
sguard,multilingual_ar,0.6,0.8833,53,1.0,0.7353,0.8475
sguard,multilingual_ar,0.7,0.85,51,1.0,0.7188,0.8364
sguard,multilingual_ar,0.8,0.7667,46,1.0,0.7143,0.8333
sguard,multilingual_ar,0.9,0.5667,34,1.0,0.5789,0.7333
sguard,multilingual_ar,0.95,0.5,30,1.0,0.5294,0.6923
sguard,multilingual_es,0.5,1.0,60,0.9444,0.85,0.8947
sguard,multilingual_es,0.6,0.95,57,0.9714,0.8718,0.9189
sguard,multilingual_es,0.7,0.9333,56,0.9706,0.8684,0.9167
sguard,multilingual_es,0.8,0.8833,53,1.0,0.8919,0.9429
sguard,multilingual_es,0.9,0.8,48,1.0,0.875,0.9333
sguard,multilingual_es,0.95,0.7333,44,1.0,0.8621,0.9259
sguard,multilingual_hi,0.5,1.0,60,0.8857,0.775,0.8267
sguard,multilingual_hi,0.6,0.9167,55,0.9062,0.7838,0.8406
sguard,multilingual_hi,0.7,0.8833,53,0.9,0.7714,0.8308
sguard,multilingual_hi,0.8,0.8167,49,0.9259,0.7812,0.8475
sguard,multilingual_hi,0.9,0.6333,38,1.0,0.76,0.8636
sguard,multilingual_hi,0.95,0.5167,31,1.0,0.75,0.8571
sguard,multilingual_id,0.5,1.0,30,0.9167,0.55,0.6875
sguard,multilingual_id,0.6,0.9667,29,0.9167,0.55,0.6875
sguard,multilingual_id,0.7,0.8667,26,1.0,0.5556,0.7143
sguard,multilingual_id,0.8,0.7667,23,1.0,0.5333,0.6957
sguard,multilingual_id,0.9,0.6667,20,1.0,0.4615,0.6316
sguard,multilingual_id,0.95,0.5667,17,1.0,0.5455,0.7059
sguard,multilingual_ru,0.5,1.0,60,1.0,0.775,0.8732
sguard,multilingual_ru,0.6,0.95,57,1.0,0.7895,0.8824
sguard,multilingual_ru,0.7,0.9,54,1.0,0.8333,0.9091
sguard,multilingual_ru,0.8,0.8833,53,1.0,0.8286,0.9062
sguard,multilingual_ru,0.9,0.8,48,1.0,0.8667,0.9286
sguard,multilingual_ru,0.95,0.7,42,1.0,0.8462,0.9167
sguard,multilingual_th,0.5,1.0,60,0.8889,0.6,0.7164
sguard,multilingual_th,0.6,0.9,54,0.9565,0.6111,0.7458
sguard,multilingual_th,0.7,0.8167,49,0.9474,0.5806,0.72
sguard,multilingual_th,0.8,0.7833,47,0.9444,0.5862,0.7234
sguard,multilingual_th,0.9,0.6833,41,0.9333,0.56,0.7
sguard,multilingual_th,0.95,0.4667,28,1.0,0.4118,0.5833
sguard,multilingual_vi,0.5,1.0,30,1.0,0.5,0.6667
sguard,multilingual_vi,0.6,0.9667,29,1.0,0.5,0.6667
sguard,multilingual_vi,0.7,0.9333,28,1.0,0.4737,0.6429
sguard,multilingual_vi,0.8,0.8667,26,1.0,0.4706,0.64
sguard,multilingual_vi,0.9,0.8,24,1.0,0.4375,0.6087
sguard,multilingual_vi,0.95,0.7333,22,1.0,0.4,0.5714
