pair,dataset,n,b,c,test_type,p_raw,p_adjusted,kappa,direction
PolyGuard vs LG3-1B,PGPrompts en,1699,223,60,chi2_corrected,5.978738250182875e-22,1.7936214750548622e-21,0.6508027693673057,PolyGuard 우세 (b=223 > c=60)
PolyGuard vs SGuard-v1,PGPrompts en,1699,42,64,chi2_corrected,0.04138018393984584,0.12414055181953752,0.8711781334584638,SGuard-v1 우세 (c=64 > b=42)
LG3-1B vs SGuard-v1,PGPrompts en,1699,59,244,chi2_corrected,4.0820820574822106e-26,1.2246246172446633e-25,0.6256383927954604,SGuard-v1 우세 (c=244 > b=59)
PolyGuard vs LG3-1B,PGPrompts ko,1699,341,86,chi2_corrected,1.000980164024365e-34,3.0029404920730954e-34,0.4385096850042065,PolyGuard 우세 (b=341 > c=86)
PolyGuard vs SGuard-v1,PGPrompts ko,1699,165,100,chi2_corrected,8.442144823483354e-05,0.0002532643447045006,0.6637646027361251,PolyGuard 우세 (b=165 > c=100)
LG3-1B vs SGuard-v1,PGPrompts ko,1699,99,289,chi2_corrected,8.389980223981714e-22,2.5169940671945142e-21,0.45816380711903243,SGuard-v1 우세 (c=289 > b=99)
PolyGuard vs LG3-1B,ko_probe,150,50,10,chi2_corrected,4.781523876094526e-07,1.4344571628283578e-06,0.12536443148688048,PolyGuard 우세 (b=50 > c=10)
PolyGuard vs SGuard-v1,ko_probe,150,37,12,chi2_corrected,0.0006067668456360641,0.0018203005369081923,0.29986664126500284,PolyGuard 우세 (b=37 > c=12)
LG3-1B vs SGuard-v1,ko_probe,150,4,19,exact,0.002599477767944336,0.007798433303833008,0.38502673796791437,SGuard-v1 우세 (c=19 > b=4)
